
#Namespace	Article	Revisions
0	Homosexuality	12831
4	Wikipedia:Manual of Style	12828
0	Arsenal F.C.	12828
0	Star Trek	12822
4	Wikipedia:Requests for checkuser	12819
0	Sweden	12814
0	Aishwarya Rai	12814
3	User talk:Chzz	12812
0	Airbus A380	12801
0	Gulf War	12796
2	User:Liz/CSD log	12789
0	Los Angeles International Airport	12786
3	User talk:AGK	12774
0	Cuba	12767
4	Wikipedia:Featured articles	12743
0	Tottenham Hotspur F.C.	12740
0	Miley Cyrus	12733
2	User:Hchc2009/Sandbox	12730
0	Abortion	12713
2	User:Tigerboy1966/sandbox9	12710
0	Paris Hilton	12701
0	Nazi Germany	12655
0	Haiti	12655
0	Superman	12652
11	Template talk:Convert	12641
0	Saddam Hussein	12637
1	Talk:Murder of Meredith Kercher	12631
0	Janet Jackson	12631
0	Punk rock	12628
0	Tupac Shakur	12619
0	Kobe Bryant	12617
5	Wikipedia talk:Sandbox/Archive	12615
0	Stone Cold Steve Austin	12602
0	Vincent van Gogh	12594
1	Talk:Wikipedia	12591
0	Tony Blair	12583
0	Hungary	12583
4	Wikipedia:Requested articles/Biography/By profession	12576
4	Wikipedia:WikiProject Deletion sorting/Australia	12574
0	Kosovo	12568
0	The Lord of the Rings	12565
0	2004 Indian Ocean earthquake and tsunami	12559
0	International Space Station	12558
3	User talk:J Milburn	12547
0	Mahatma Gandhi	12547
0	Ukraine	12545
0	Homer Simpson	12545
0	Rajinikanth	12542
0	Halloween	12538
0	Race and intelligence	12536
5	Wikipedia talk:Canadian Wikipedians' notice board	12533
0	WWE Championship	12532
0	FC Bayern Munich	12530
0	Earth	12528
0	Apple Inc.	12526
0	Racism	12523
3	User talk:Nikkimaria	12522
3	User talk:Keeper76	12499
0	AEK Athens F.C.	12493
0	Karl Marx	12464
1	Talk:Kosovo	12460
0	Bulgaria	12459
0	Bosnia and Herzegovina national football team	12454
0	Democratic Party (United States)	12448
2	User:Mdnavman/sandbox	12434
0	Halo 3	12431
1	Talk:Genesis creation narrative	12425
3	User talk:NuclearWarfare	12390
3	User talk:Bgwhite	12372
0	American Revolutionary War	12368
4	Wikipedia:List of Wikipedians by number of DYKs	12365
1	Talk:Acupuncture	12362
0	Somalia	12358
0	Johnny Cash	12353
2	User:ST47/test	12351
0	Margaret Thatcher	12349
0	1992	12345
0	Futurama	12330
0	Mike Tyson	12322
0	English language	12308
0	Ann Coulter	12308
0	Drake & Josh	12306
0	Vegetarianism	12292
0	Facebook	12285
2	User:Legobot/Wikidata/General	12257
3	User talk:Nyttend	12249
0	Ashley Tisdale	12248
3	User talk:SlimVirgin	12219
0	Michael Jordan	12214
0	Taiwan	12208
1	Talk:Monty Hall problem	12202
0	List of social networking websites	12202
3	User talk:Lar	12193
2	User:VeblenBot/C/Current peer reviews	12182
0	Boston	12179
4	Wikipedia:Good article nominations/Topic lists/Music	12165
0	Chennai	12157
0	Spider-Man	12152
1	Talk:George Washington	12145
0	American Civil War	12134
0	Nottingham Forest F.C.	12131
0	Korean War	12130
0	Berlin	12125
0	List of Hollyoaks characters	12123
0	Andhra Pradesh	12111
0	Winx Club	12108
0	Jeff Hardy	12099
4	Wikipedia:WikiProject Deletion sorting/Music	12090
0	Nickelodeon	12080
0	Sigmund Freud	12077
0	IOS version history	12071
0	Poland	12068
3	User talk:Toddst1	12067
0	Shawn Michaels	12067
2	User:Rankersbo/CSD log	12062
5	Wikipedia talk:WikiProject Television	12060
0	The Fairly OddParents	12048
0	Athens	12048
0	1993	12041
0	List of Disney Channel series	12039
0	Istanbul	12034
0	Panathinaikos F.C.	12032
0	Genghis Khan	12032
1	Talk:Ulysses S. Grant	12017
0	IPhone	12015
0	Mumbai	12007
0	List of Mario franchise characters	11993
0	Chile	11993
0	X-Men (film series)	11974
0	Wizards of Waverly Place	11973
0	2006	11968
0	Saudi Arabia	11952
0	Same-sex marriage in the United States	11948
0	Megadeth	11940
0	Myanmar	11906
0	Theodore Roosevelt	11902
0	Kanye West	11886
0	Persepolis F.C.	11884
0	Thierry Henry	11881
0	Native Americans in the United States	11881
2	User:Mccapra/sandbox	11876
1	Talk:Islamic State of Iraq and the Levant	11869
0	The Legend of Zelda	11866
0	Christ myth theory	11865
0	Shadow the Hedgehog	11862
0	Jerusalem	11861
3	User talk:Arthur Rubin	11858
5	Wikipedia talk:WikiProject Japan	11857
0	George Harrison	11852
0	Fox News	11850
0	List of Family Guy episodes	11849
0	Switzerland	11847
0	Avril Lavigne	11842
0	War on Terror	11835
3	User talk:Mark Arsten	11835
4	Wikipedia:New articles (Aircraft)	11821
2	User:AnomieBOT/TPERTable	11821
0	British National Party	11819
0	Google	11802
0	Attention deficit hyperactivity disorder	11801
0	Oasis (band)	11789
0	Ayn Rand	11778
0	Korea	11776
0	Muse (band)	11775
0	Che Guevara	11768
1	Talk:Russian interference in the 2016 United States elections	11758
0	Matt Hardy	11757
0	Winston Churchill	11745
1	Talk:Armenian Genocide	11744
0	Electronic cigarette	11738
0	God	11725
0	Whitney Houston	11719
0	Malaysia	11719
3	User talk:RickK	11704
0	Naruto	11695
0	Jesse McCartney	11683
0	Panathinaikos B.C.	11673
0	Human	11669
1	Talk:The Holocaust	11668
3	User talk:SMcCandlish	11660
0	Iraq	11660
4	Wikipedia:Good article nominations/Topic lists/Social sciences and society	11655
0	Grey's Anatomy	11644
0	White people	11643
0	Nintendo DS	11637
2	User:SQL/RfX Report	11636
0	Germany national football team	11636
0	Grand Theft Auto	11624
0	Arabs	11619
0	2009	11619
0	Globalization	11616
3	User talk:Rlevse	11612
0	Coldplay	11606
0	War	11603
0	Mao Zedong	11603
0	Homeopathy	11586
0	List of The Simpsons episodes	11581
0	Golf	11576
0	Big Brother (franchise)	11576
0	Dog	11573
0	Spider-Man 3	11570
4	Wikipedia:WikiProject Council/Proposals	11564
0	Slipknot (band)	11564
5	Wikipedia talk:Notability (people)	11548
4	Wikipedia:WikiProject Deletion sorting/Schools	11545
0	Kurt Cobain	11544
0	List of original programs distributed by Netflix	11543
0	Titanic (1997 film)	11539
